order_id,product_name,quantity,revenue,customer_age,region,purchase_date
1002,Tablet,8,5571.2,31,North,2024-01-02
1003,Keyboard,4,4402.2,67,West,2024-01-03
1005,Monitor,5,2722.9,63,West,2024-01-05
1006,External SSD,8,9897.04,69,East,2024-01-06
1007,Laptop,5,4623.349999999999,41,South,2024-01-07
1008,Monitor,8,4311.84,32,North,2024-01-08
1009,Keyboard,10,13630.1,39,East,2024-01-09
1010,Smart Watch,1,1170.3,47,South,2024-01-10
1011,Tablet,10,4341.0,21,North,2024-01-11
1012,Keyboard,9,8871.029999999999,30,North,2024-01-12
1013,Keyboard,6,5483.04,40,East,2024-01-13
1014,Laptop,3,1895.16,25,North,2024-01-14
1015,Bluetooth Speaker,8,4656.72,35,East,2024-01-15
1016,Smart Watch,9,4933.44,29,North,2024-01-16
1017,Smartphone,6,5669.28,48,West,2024-01-17
1018,Keyboard,7,4840.43,31,South,2024-01-18
1019,Bluetooth Speaker,1,1256.2,51,West,2024-01-19
1020,Smartphone,5,5104.599999999999,35,East,2024-01-20
1022,Wireless Headphones,10,9782.4,28,East,2024-01-22
1023,External SSD,4,1772.64,58,North,2024-01-23
1024,Bluetooth Speaker,6,5457.4800000000005,29,North,2024-01-24
1025,Mouse,7,7253.33,66,East,2024-01-25
1026,Wireless Headphones,9,3462.3,32,West,2024-01-26
1028,Laptop,6,1955.82,66,South,2024-01-28
1030,Tablet,3,1796.37,43,South,2024-01-30
1031,Mouse,8,4610.16,35,West,2024-01-31
1032,Laptop,5,7467.25,49,South,2024-02-01
1033,Smart Watch,9,6274.89,39,South,2024-02-02
1034,Laptop,5,2668.4,55,South,2024-02-03
1035,Monitor,9,8025.210000000001,34,South,2024-02-04
1036,Smart Watch,10,1787.1,40,North,2024-02-05
1037,Mouse,4,5777.68,41,South,2024-02-06
1038,Monitor,9,8736.210000000001,67,North,2024-02-07
1039,Smartphone,5,5722.55,25,South,2024-02-08
1040,Tablet,10,2971.9,58,East,2024-02-09
1041,Mouse,9,5793.66,23,West,2024-02-10
1042,Smartphone,3,1988.7,22,South,2024-02-11
1043,External SSD,4,4966.48,61,East,2024-02-12
1045,External SSD,10,4862.4,45,South,2024-02-14
1046,Smart Watch,6,8836.74,28,South,2024-02-15
1047,Smartphone,2,1477.18,18,East,2024-02-16
1048,Tablet,7,4232.62,60,West,2024-02-17
1050,Keyboard,2,2925.08,26,West,2024-02-19
1052,Wireless Headphones,3,3356.7300000000005,51,North,2024-02-21
1053,Tablet,6,6986.82,61,South,2024-02-22
1054,Smartphone,8,3226.4,21,West,2024-02-23
1055,Keyboard,9,9213.84,53,East,2024-02-24
1056,Tablet,7,1293.25,35,South,2024-02-25
1057,Smartphone,4,1690.88,32,East,2024-02-26
1058,Bluetooth Speaker,6,7154.76,68,East,2024-02-27
1059,Bluetooth Speaker,5,6518.95,30,East,2024-02-28
1060,External SSD,8,7458.48,36,South,2024-02-29
1064,External SSD,10,2205.9,29,East,2024-03-04
1066,External SSD,5,2727.15,54,West,2024-03-06
1068,Keyboard,7,3865.19,40,West,2024-03-08
1070,Mouse,4,3156.4,46,North,2024-03-10
1071,Keyboard,9,11219.94,50,North,2024-03-11
1073,Smartphone,4,5665.84,42,North,2024-03-13
1074,Smart Watch,6,7898.039999999999,27,South,2024-03-14
1075,Keyboard,6,1707.36,64,North,2024-03-15
1076,External SSD,8,9520.8,40,East,2024-03-16
1078,Mouse,7,6100.71,38,South,2024-03-18
1080,Mouse,7,5436.69,30,East,2024-03-20
1081,Monitor,3,1877.73,54,South,2024-03-21
